family,global_index,case_key,slice_index,risk_score,source_dice,tent1_dice,delta_dice,state,harmful,beneficial,source_tp,source_fp,source_fn,tent_tp,tent_fp,tent_fn
UNet,155,Case03,25,0.6772810338007265,0.0,0.0,0.0,NEUTRAL,0,0,0,2008,0,0,6661,0
UNet,156,Case03,26,0.7548709434941036,0.0,0.0,0.0,NEUTRAL,0,0,0,3163,0,0,6299,0
UNet,157,Case03,27,0.8968002771124498,0.0,0.0,0.0,NEUTRAL,0,0,0,3428,0,0,7952,0
UNet,158,Case03,28,0.9777530315471716,0.0,0.0,0.0,NEUTRAL,0,0,0,6484,0,0,7137,0
UNet,159,Case03,29,0.9973871527858498,0.0,0.0,0.0,NEUTRAL,0,0,0,6855,0,0,6574,0
UNet,160,Case03,30,0.9841150854097866,0.0,0.0,0.0,NEUTRAL,0,0,0,8688,0,0,5244,0
UNet,161,Case03,31,0.9737673575157652,0.0,0.0,0.0,NEUTRAL,0,0,0,10907,0,0,6881,0
UNet,162,Case03,32,0.97214846358196,0.0,0.0,0.0,NEUTRAL,0,0,0,10218,0,0,5985,0
UNet,163,Case03,33,0.9591505324675196,0.0,0.0,0.0,NEUTRAL,0,0,0,7969,0,0,6418,0
UNet,164,Case03,34,0.7653857912458552,0.0,0.0,0.0,NEUTRAL,0,0,0,9164,0,0,5398,0
UNet,165,Case03,35,0.6804935291041793,0.0,0.0,0.0,NEUTRAL,0,0,0,6696,0,0,1878,0
UNet,166,Case03,36,0.6425448532201878,0.0,0.0,0.0,NEUTRAL,0,0,0,7877,0,0,3232,0
UNet,167,Case03,37,0.7589277987656554,0.0,0.0,0.0,NEUTRAL,0,0,0,9341,0,0,2466,0
UNet,168,Case03,38,0.5938331484932692,0.0,0.0,0.0,NEUTRAL,0,0,0,7198,0,0,5366,0
UNet,169,Case03,39,0.6716008659111815,0.0,0.0,0.0,NEUTRAL,0,0,0,8142,0,0,2391,0
UNet,170,Case03,40,0.9888734851440036,0.0,0.0,0.0,NEUTRAL,0,0,0,8909,0,0,3809,0
UNet,171,Case03,41,0.9958595676456424,0.0,0.0,0.0,NEUTRAL,0,0,0,9508,0,0,2650,0
UNet,172,Case04,0,0.6362233078889789,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,284,0
UNet,173,Case04,1,0.0779547203319371,0.0,0.0,0.0,NEUTRAL,0,0,0,64,0,0,160,0
UNet,174,Case04,2,0.6438138450076343,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,410,0
UNet,175,Case04,3,0.6492379442033919,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,443,0
UNet,176,Case04,4,0.6587911416294631,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,765,0
UNet,177,Case04,5,0.6754456771617363,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,586,0
UNet,178,Case04,6,0.6598222375035034,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,285,0
